Name,Variant,Procedure,Appropriateness Category,Relative Radiation Level,Comment
Radiologic Management of Infected Fluid Collections,"Patient with right lower quadrant abdominal pain, fever, and leukocytosis for 7 days. Physical examination shows no peritoneal signs. CT scan shows a thin-walled fluid collection, greater than 3 cm, adjacent to the cecum, nonvisualization of the appendix, and an appendicolith. Imaging findings are highly suspicious for appendicitis. Treatment includes antibiotics.",Conservative management only,Usually Not Appropriate,,
Radiologic Management of Infected Fluid Collections,"Patient with right lower quadrant abdominal pain, fever, and leukocytosis for 7 days. Physical examination shows no peritoneal signs. CT scan shows a thin-walled fluid collection, greater than 3 cm, adjacent to the cecum, nonvisualization of the appendix, and an appendicolith. Imaging findings are highly suspicious for appendicitis. Treatment includes antibiotics.",Surgical drainage,May Be Appropriate,,
Radiologic Management of Infected Fluid Collections,"Patient with right lower quadrant abdominal pain, fever, and leukocytosis for 7 days. Physical examination shows no peritoneal signs. CT scan shows a thin-walled fluid collection, greater than 3 cm, adjacent to the cecum, nonvisualization of the appendix, and an appendicolith. Imaging findings are highly suspicious for appendicitis. Treatment includes antibiotics.",Needle aspiration,May Be Appropriate,,
Radiologic Management of Infected Fluid Collections,"Patient with right lower quadrant abdominal pain, fever, and leukocytosis for 7 days. Physical examination shows no peritoneal signs. CT scan shows a thin-walled fluid collection, greater than 3 cm, adjacent to the cecum, nonvisualization of the appendix, and an appendicolith. Imaging findings are highly suspicious for appendicitis. Treatment includes antibiotics.",Percutaneous catheter drainage followed by delayed surgery,Usually Appropriate,,
Radiologic Management of Infected Fluid Collections,"Patient with right lower quadrant abdominal pain, fever, and leukocytosis for 7 days. Physical examination shows no peritoneal signs. CT scan shows a thin-walled fluid collection, greater than 3 cm, adjacent to the cecum, nonvisualization of the appendix, and an appendicolith. Imaging findings are highly suspicious for appendicitis. Treatment includes antibiotics.",Percutaneous catheter drainage only,Usually Appropriate,,
Radiologic Management of Infected Fluid Collections,Patient with a history of left hemicolectomy 2 months ago for colon carcinoma. Two weeks after placement of a drain into an abdominal abscess; the patient presents with abdominal pain and fever. Drain output is 25 cc per day and the collection is unchanged in size by CТ. Treatment includes antibiotics.,Catheter upsizing,Usually Appropriate,,
Radiologic Management of Infected Fluid Collections,Patient with a history of left hemicolectomy 2 months ago for colon carcinoma. Two weeks after placement of a drain into an abdominal abscess; the patient presents with abdominal pain and fever. Drain output is 25 cc per day and the collection is unchanged in size by CТ. Treatment includes antibiotics.,Continued antibiotics and drain removal,Usually Not Appropriate,,
Radiologic Management of Infected Fluid Collections,Patient with a history of left hemicolectomy 2 months ago for colon carcinoma. Two weeks after placement of a drain into an abdominal abscess; the patient presents with abdominal pain and fever. Drain output is 25 cc per day and the collection is unchanged in size by CТ. Treatment includes antibiotics.,Continued antibiotics and drainage (no change in care),May Be Appropriate,,
Radiologic Management of Infected Fluid Collections,Patient with a history of left hemicolectomy 2 months ago for colon carcinoma. Two weeks after placement of a drain into an abdominal abscess; the patient presents with abdominal pain and fever. Drain output is 25 cc per day and the collection is unchanged in size by CТ. Treatment includes antibiotics.,Intracavitary thrombolytic therapy and drainage,Usually Appropriate,,
Radiologic Management of Infected Fluid Collections,Patient with a history of left hemicolectomy 2 months ago for colon carcinoma. Two weeks after placement of a drain into an abdominal abscess; the patient presents with abdominal pain and fever. Drain output is 25 cc per day and the collection is unchanged in size by CТ. Treatment includes antibiotics.,Laparoscopic drainage,May Be Appropriate,,
Radiologic Management of Infected Fluid Collections,Patient with a history of left hemicolectomy 2 months ago for colon carcinoma. Two weeks after placement of a drain into an abdominal abscess; the patient presents with abdominal pain and fever. Drain output is 25 cc per day and the collection is unchanged in size by CТ. Treatment includes antibiotics.,Open surgical drainage,May Be Appropriate,,
Radiologic Management of Infected Fluid Collections,Patient who is an intravenous drug abuser presents with fever and tachycardia and on imaging is found to have 2 noncommunicating splenic abscesses accessible percutaneously through a 1 cm rim of normal splenic tissue. Treatment includes antibiotics.,Conservative management only,Usually Not Appropriate,,
Radiologic Management of Infected Fluid Collections,Patient who is an intravenous drug abuser presents with fever and tachycardia and on imaging is found to have 2 noncommunicating splenic abscesses accessible percutaneously through a 1 cm rim of normal splenic tissue. Treatment includes antibiotics.,Needle aspiration,May Be Appropriate,,
Radiologic Management of Infected Fluid Collections,Patient who is an intravenous drug abuser presents with fever and tachycardia and on imaging is found to have 2 noncommunicating splenic abscesses accessible percutaneously through a 1 cm rim of normal splenic tissue. Treatment includes antibiotics.,Percutaneous catheter drainage only,Usually Appropriate,,
Radiologic Management of Infected Fluid Collections,Patient who is an intravenous drug abuser presents with fever and tachycardia and on imaging is found to have 2 noncommunicating splenic abscesses accessible percutaneously through a 1 cm rim of normal splenic tissue. Treatment includes antibiotics.,Splenectomy,Usually Appropriate,,
Radiologic Management of Infected Fluid Collections,"Patient with abdominal pain radiating to the back 5 weeks after hospitalization for acute pancreatitis. Afebrile. CT scan shows a walled-off collection in the body of the pancreas indenting a broad portion of the body of the stomach, affecting the gastric outlet. The collection is percutaneously accessible with a 3-cm window. MR cholangiopancreatography shows a patent pancreatic duct.",Conservative management only,Usually Not Appropriate,,
Radiologic Management of Infected Fluid Collections,"Patient with abdominal pain radiating to the back 5 weeks after hospitalization for acute pancreatitis. Afebrile. CT scan shows a walled-off collection in the body of the pancreas indenting a broad portion of the body of the stomach, affecting the gastric outlet. The collection is percutaneously accessible with a 3-cm window. MR cholangiopancreatography shows a patent pancreatic duct.",Endoscopic cystgastrostomy,Usually Appropriate,,
Radiologic Management of Infected Fluid Collections,"Patient with abdominal pain radiating to the back 5 weeks after hospitalization for acute pancreatitis. Afebrile. CT scan shows a walled-off collection in the body of the pancreas indenting a broad portion of the body of the stomach, affecting the gastric outlet. The collection is percutaneously accessible with a 3-cm window. MR cholangiopancreatography shows a patent pancreatic duct.",Percutaneous catheter drainage only,May Be Appropriate,,
Radiologic Management of Infected Fluid Collections,"Patient with abdominal pain radiating to the back 5 weeks after hospitalization for acute pancreatitis. Afebrile. CT scan shows a walled-off collection in the body of the pancreas indenting a broad portion of the body of the stomach, affecting the gastric outlet. The collection is percutaneously accessible with a 3-cm window. MR cholangiopancreatography shows a patent pancreatic duct.",Percutaneous needle aspiration,May Be Appropriate,,
Radiologic Management of Infected Fluid Collections,"Patient with abdominal pain radiating to the back 5 weeks after hospitalization for acute pancreatitis. Afebrile. CT scan shows a walled-off collection in the body of the pancreas indenting a broad portion of the body of the stomach, affecting the gastric outlet. The collection is percutaneously accessible with a 3-cm window. MR cholangiopancreatography shows a patent pancreatic duct.",Surgical cystenterostomy,May Be Appropriate,,
Radiologic Management of Infected Fluid Collections,"Patient with a 2 week history of cough, fever, and foul-smelling sputum. Worsening condition despite a full course of broad-spectrum antibiotics. Sputum cultures negative. CT scan shows a right lower lobe abscess. Treatment includes antibiotics.",Another course of antibiotics and postural drainage,May Be Appropriate (Disagreement),,
Radiologic Management of Infected Fluid Collections,"Patient with a 2 week history of cough, fever, and foul-smelling sputum. Worsening condition despite a full course of broad-spectrum antibiotics. Sputum cultures negative. CT scan shows a right lower lobe abscess. Treatment includes antibiotics.",Needle aspiration,Usually Not Appropriate,,
Radiologic Management of Infected Fluid Collections,"Patient with a 2 week history of cough, fever, and foul-smelling sputum. Worsening condition despite a full course of broad-spectrum antibiotics. Sputum cultures negative. CT scan shows a right lower lobe abscess. Treatment includes antibiotics.",Percutaneous catheter drainage only,May Be Appropriate,,
Radiologic Management of Infected Fluid Collections,"Patient with a 2 week history of cough, fever, and foul-smelling sputum. Worsening condition despite a full course of broad-spectrum antibiotics. Sputum cultures negative. CT scan shows a right lower lobe abscess. Treatment includes antibiotics.",Surgery,May Be Appropriate,,
Radiologic Management of Infected Fluid Collections,"Patient with a 3 week history of pneumonia, fever, dyspnea. Worsening condition despite a full course of broad-spectrum antibiotics. CT scan shows a loculated pleural collection with overlying pleural thickening (empyema). Treatment includes antibiotics.",Another course of antibiotics and postural drainage,Usually Not Appropriate,,
Radiologic Management of Infected Fluid Collections,"Patient with a 3 week history of pneumonia, fever, dyspnea. Worsening condition despite a full course of broad-spectrum antibiotics. CT scan shows a loculated pleural collection with overlying pleural thickening (empyema). Treatment includes antibiotics.",Needle aspiration,Usually Not Appropriate,,
Radiologic Management of Infected Fluid Collections,"Patient with a 3 week history of pneumonia, fever, dyspnea. Worsening condition despite a full course of broad-spectrum antibiotics. CT scan shows a loculated pleural collection with overlying pleural thickening (empyema). Treatment includes antibiotics.",Open decortication,May Be Appropriate,,
Radiologic Management of Infected Fluid Collections,"Patient with a 3 week history of pneumonia, fever, dyspnea. Worsening condition despite a full course of broad-spectrum antibiotics. CT scan shows a loculated pleural collection with overlying pleural thickening (empyema). Treatment includes antibiotics.",Percutaneous catheter drainage with administration of thrombolytic therapy,Usually Appropriate,,
Radiologic Management of Infected Fluid Collections,"Patient with a 3 week history of pneumonia, fever, dyspnea. Worsening condition despite a full course of broad-spectrum antibiotics. CT scan shows a loculated pleural collection with overlying pleural thickening (empyema). Treatment includes antibiotics.",Video-assisted thoracic surgery decortication,Usually Appropriate,,
Radiologic Management of Infected Fluid Collections,"Woman of childbearing age with abdominal pain, fever, and leukocytosis. Marked tenderness on pelvic examination. CT scan shows a walled-off, probable tubo-ovarian abscess (TOA) greater than 3 cm. Treatment includes antibiotics.",Conservative management only,May Be Appropriate,,
Radiologic Management of Infected Fluid Collections12,"Woman of childbearing age with abdominal pain, fever, and leukocytosis. Marked tenderness on pelvic examination. CT scan shows a walled-off, probable tubo-ovarian abscess (TOA) greater than 3 cm. Treatment includes antibi3otics.4",Endoscopic US-guided drainage5,May B6e Appropriate,,
Radiologic Management of Infected Fluid Collections,"Woman of childbearing age with abdominal pain, fever, and leukocytosis. Marked tenderness on pelvic examination. CT scan shows a walled-off, probable tubo-ovarian abscess (TOA) greater than 3 cm. Treatment includes antibiotics.",Surgical/laparoscopic drainage,May Be Appropriate,,
Radiologic Management of Infected Fluid Collections,"Woman of childbearing age with abdominal pain, fever, and leukocytosis. Marked tenderness on pelvic examination. CT scan shows a walled-off, probable tubo-ovarian abscess (TOA) greater than 3 cm. Treatment includes antibiotics.",Transabdominal needle aspiration,May Be Appropriate,,
Radiologic Management of Infected Fluid Collections,"Woman of childbearing age with abdominal pain, fever, and leukocytosis. Marked tenderness on pelvic examination. CT scan shows a walled-off, probable tubo-ovarian abscess (TOA) greater than 3 cm. Treatment includes antibiotics.",Transabdominal percutaneous catheter drainage,Usually Appropriate,,
Radiologic Management of Infected Fluid Collections,"Woman of childbearing age with abdominal pain, fever, and leukocytosis. Marked tenderness on pelvic examination. CT scan shows a walled-off, probable tubo-ovarian abscess (TOA) greater than 3 cm. Treatment includes antibiotics.",Transgluteal needle aspiration,May Be Appropriate,,
Radiologic Management of Infected Fluid Collections,"Woman of childbearing age with abdominal pain, fever, and leukocytosis. Marked tenderness on pelvic examination. CT scan shows a walled-off, probable tubo-ovarian abscess (TOA) greater than 3 cm. Treatment includes antibiotics.",Transgluteal percutaneous catheter drainage,Usually Appropriate,,
Radiologic Management of Infected Fluid Collections,"Woman of childbearing age with abdominal pain, fever, and leukocytosis. Marked tenderness on pelvic examination. CT scan shows a walled-off, probable tubo-ovarian abscess (TOA) greater than 3 cm. Treatment includes antibiotics.",Transrectal needle aspiration,May Be Appropriate,,
Radiologic Management of Infected Fluid Collections,"Woman of childbearing age with abdominal pain, fever, and leukocytosis. Marked tenderness on pelvic examination. CT scan shows a walled-off, probable tubo-ovarian abscess (TOA) greater than 3 cm. Treatment includes antibiotics.",Transrectal percutaneous catheter drainage,Usually Appropriate,,
Radiologic Management of Infected Fluid Collections,"Woman of childbearing age with abdominal pain, fever, and leukocytosis. Marked tenderness on pelvic examination. CT scan shows a walled-off, probable tubo-ovarian abscess (TOA) greater than 3 cm. Treatment includes antibiotics.",Transvaginal needle aspiration,May Be Appropriate,,
Radiologic Management of Infected Fluid Collections,"Woman of childbearing age with abdominal pain, fever, and leukocytosis. Marked tenderness on pelvic examination. CT scan shows a walled-off, probable tubo-ovarian abscess (TOA) greater than 3 cm. Treatment includes antibiotics.",Transvaginal percutaneous catheter drainage,Usually Appropriate,,
Radiologic Management of Infected Fluid Collections,"Patient with recent endoscopic retrograde cholangiopancreatography and sphincterotomy now with 3 weeks of worsening right upper quadrant pain, fever, jaundice, and malaise. CТ scan reveals 2 liver abscesses greater than 3 cm. MRCP demonstrates no biliary obstruction or stones. Treatment includes antibiotics.",Continued conservative management,May Be Appropriate,,
Radiologic Management of Infected Fluid Collections,"Patient with recent endoscopic retrograde cholangiopancreatography and sphincterotomy now with 3 weeks of worsening right upper quadrant pain, fever, jaundice, and malaise. CТ scan reveals 2 liver abscesses greater than 3 cm. MRCP demonstrates no biliary obstruction or stones. Treatment includes antibiotics.",Needle aspiration,May Be Appropriate,,
Radiologic Management of Infected Fluid Collections,"Patient with recent endoscopic retrograde cholangiopancreatography and sphincterotomy now with 3 weeks of worsening right upper quadrant pain, fever, jaundice, and malaise. CТ scan reveals 2 liver abscesses greater than 3 cm. MRCP demonstrates no biliary obstruction or stones. Treatment includes antibiotics.",Percutaneous catheter drainage only,Usually Appropriate,,
Radiologic Management of Infected Fluid Collections,"Patient with recent endoscopic retrograde cholangiopancreatography and sphincterotomy now with 3 weeks of worsening right upper quadrant pain, fever, jaundice, and malaise. CТ scan reveals 2 liver abscesses greater than 3 cm. MRCP demonstrates no biliary obstruction or stones. Treatment includes antibiotics.",Percutaneous catheter drainage with conversion to percutaneous biliary drain,May Be Appropriate,,
Radiologic Management of Infected Fluid Collections,"Patient with recent endoscopic retrograde cholangiopancreatography and sphincterotomy now with 3 weeks of worsening right upper quadrant pain, fever, jaundice, and malaise. CТ scan reveals 2 liver abscesses greater than 3 cm. MRCP demonstrates no biliary obstruction or stones. Treatment includes antibiotics.",Surgical management,May Be Appropriate,,
Radiologic Management of Infected Fluid Collections,Patient presents to the emergency department with 5 days of progressive ankle swelling and 2 days of fever. An ultrasound was obtained given the diffuse soft-tissue swelling around the ankle which revealed a subperiosteal abscess. Treatment includes antibiotics.,Continued conservative management,Usually Not Appropriate,,
Radiologic Management of Infected Fluid Collections,Patient presents to the emergency department with 5 days of progressive ankle swelling and 2 days of fever. An ultrasound was obtained given the diffuse soft-tissue swelling around the ankle which revealed a subperiosteal abscess. Treatment includes antibiotics.,Needle aspiration,May Be Appropriate,,
Radiologic Management of Infected Fluid Collections,Patient presents to the emergency department with 5 days of progressive ankle swelling and 2 days of fever. An ultrasound was obtained given the diffuse soft-tissue swelling around the ankle which revealed a subperiosteal abscess. Treatment includes antibiotics.,Percutaneous catheter drainage only,May Be Appropriate,,
Radiologic Management of Infected Fluid Collections,Patient presents to the emergency department with 5 days of progressive ankle swelling and 2 days of fever. An ultrasound was obtained given the diffuse soft-tissue swelling around the ankle which revealed a subperiosteal abscess. Treatment includes antibiotics.,Surgical drainage,Usually Appropriate,,
Radiologic Management of Lower Gastrointestinal Tract Bleeding,Lower gastrointestinal tract bleeding. Active bleeding clinically observed as hematochezia or melena in a hemodynamically stable patient. Next step.,CTA abdomen and pelvis without and with IV contrast,Usually Appropriate,,
Radiologic Management of Lower Gastrointestinal Tract Bleeding,Lower gastrointestinal tract bleeding. Active bleeding clinically observed as hematochezia or melena in a hemodynamically stable patient. Next step.,Diagnostic/therapeutic colonoscopy,Usually Appropriate,,
Radiologic Management of Lower Gastrointestinal Tract Bleeding,Lower gastrointestinal tract bleeding. Active bleeding clinically observed as hematochezia or melena in a hemodynamically stable patient. Next step.,RBC scan abdomen and pelvis,Usually Appropriate,,
Radiologic Management of Lower Gastrointestinal Tract Bleeding,Lower gastrointestinal tract bleeding. Active bleeding clinically observed as hematochezia or melena in a hemodynamically stable patient. Next step.,Transcatheter arteriography/embolization,May Be Appropriate,,
Radiologic Management of Lower Gastrointestinal Tract Bleeding,Lower gastrointestinal tract bleeding. Active bleeding clinically observed as hematochezia or melena in a hemodynamically stable patient. Next step.,MRA abdomen and pelvis without and with IV contrast,Usually Not Appropriate,,
Radiologic Management of Lower Gastrointestinal Tract Bleeding,Lower gastrointestinal tract bleeding. Active bleeding clinically observed as hematochezia or melena in a hemodynamically stable patient. Next step.,Surgery,Usually Not Appropriate,,
Radiologic Management of Lower Gastrointestinal Tract Bleeding,Lower gastrointestinal tract bleeding. Active bleeding in a hemodynamically unstable patient or a patient who has required more than 5 units of blood within 24 hours. Next step.,CTA abdomen and pelvis without and with IV contrast,Usually Appropriate,,
Radiologic Management of Lower Gastrointestinal Tract Bleeding,Lower gastrointestinal tract bleeding. Active bleeding in a hemodynamically unstable patient or a patient who has required more than 5 units of blood within 24 hours. Next step.,Transcatheter arteriography/embolization,Usually Appropriate,,
Radiologic Management of Lower Gastrointestinal Tract Bleeding,Lower gastrointestinal tract bleeding. Active bleeding in a hemodynamically unstable patient or a patient who has required more than 5 units of blood within 24 hours. Next step.,Diagnostic/therapeutic colonoscopy,May Be Appropriate (Disagreement),,
Radiologic Management of Lower Gastrointestinal Tract Bleeding,Lower gastrointestinal tract bleeding. Active bleeding in a hemodynamically unstable patient or a patient who has required more than 5 units of blood within 24 hours. Next step.,Surgery,May Be Appropriate,,
Radiologic Management of Lower Gastrointestinal Tract Bleeding,Lower gastrointestinal tract bleeding. Active bleeding in a hemodynamically unstable patient or a patient who has required more than 5 units of blood within 24 hours. Next step.,MRA abdomen and pelvis without and with IV contrast,Usually Not Appropriate,,
Radiologic Management of Lower Gastrointestinal Tract Bleeding,Lower gastrointestinal tract bleeding. Active bleeding in a hemodynamically unstable patient or a patient who has required more than 5 units of blood within 24 hours. Next step.,RBC scan abdomen and pelvis,Usually Not Appropriate,,
Radiologic Management of Lower Gastrointestinal Tract Bleeding,Lower gastrointestinal tract bleeding. Colonoscopy localized the bleeding site and treatment was attempted. Ongoing or recurrent bleeding. Next procedure or intervention.,Transcatheter arteriography/embolization,Usually Appropriate,,
Radiologic Management of Lower Gastrointestinal Tract Bleeding,Lower gastrointestinal tract bleeding. Colonoscopy localized the bleeding site and treatment was attempted. Ongoing or recurrent bleeding. Next procedure or intervention.,CTA abdomen and pelvis without and with IV contrast,May Be Appropriate (Disagreement),,
Radiologic Management of Lower Gastrointestinal Tract Bleeding,Lower gastrointestinal tract bleeding. Colonoscopy localized the bleeding site and treatment was attempted. Ongoing or recurrent bleeding. Next procedure or intervention.,Diagnostic/therapeutic colonoscopy,May Be Appropriate (Disagreement),,
Radiologic Management of Lower Gastrointestinal Tract Bleeding,Lower gastrointestinal tract bleeding. Colonoscopy localized the bleeding site and treatment was attempted. Ongoing or recurrent bleeding. Next procedure or intervention.,Surgery,May Be Appropriate,,
Radiologic Management of Lower Gastrointestinal Tract Bleeding,Lower gastrointestinal tract bleeding. Colonoscopy localized the bleeding site and treatment was attempted. Ongoing or recurrent bleeding. Next procedure or intervention.,MRA abdomen and pelvis without and with IV contrast,Usually Not Appropriate,,
Radiologic Management of Lower Gastrointestinal Tract Bleeding,Lower gastrointestinal tract bleeding. Colonoscopy localized the bleeding site and treatment was attempted. Ongoing or recurrent bleeding. Next procedure or intervention.,RBC scan abdomen and pelvis,Usually Not Appropriate,,
Radiologic Management of Lower Gastrointestinal Tract Bleeding,Lower gastrointestinal tract bleeding. Transcatheter arteriography localized the bleeding site and treatment was attempted. Ongoing or recurrent bleeding. No other prior radiological or endoscopic investigations. Next procedure or intervention.,Diagnostic/therapeutic colonoscopy,Usually Appropriate,,
Radiologic Management of Lower Gastrointestinal Tract Bleeding,Lower gastrointestinal tract bleeding. Transcatheter arteriography localized the bleeding site and treatment was attempted. Ongoing or recurrent bleeding. No other prior radiological or endoscopic investigations. Next procedure or intervention.,CTA abdomen and pelvis without and with IV contrast,May Be Appropriate,,
Radiologic Management of Lower Gastrointestinal Tract Bleeding,Lower gastrointestinal tract bleeding. Transcatheter arteriography localized the bleeding site and treatment was attempted. Ongoing or recurrent bleeding. No other prior radiological or endoscopic investigations. Next procedure or intervention.,Surgery,May Be Appropriate,,
Radiologic Management of Lower Gastrointestinal Tract Bleeding,Lower gastrointestinal tract bleeding. Transcatheter arteriography localized the bleeding site and treatment was attempted. Ongoing or recurrent bleeding. No other prior radiological or endoscopic investigations. Next procedure or intervention.,Transcatheter arteriography/embolization,May Be Appropriate,,
Radiologic Management of Lower Gastrointestinal Tract Bleeding,Lower gastrointestinal tract bleeding. Transcatheter arteriography localized the bleeding site and treatment was attempted. Ongoing or recurrent bleeding. No other prior radiological or endoscopic investigations. Next procedure or intervention.,MRA abdomen and pelvis without and with IV contrast,Usually Not Appropriate,,
Radiologic Management of Lower Gastrointestinal Tract Bleeding,Lower gastrointestinal tract bleeding. Transcatheter arteriography localized the bleeding site and treatment was attempted. Ongoing or recurrent bleeding. No other prior radiological or endoscopic investigations. Next procedure or intervention.,RBC scan abdomen and pelvis,Usually Not Appropriate,,
Radiologic Management of Lower Gastrointestinal Tract Bleeding,Lower gastrointestinal tract bleeding. Obscure (nonlocalized) recurrent bleeding in a hemodynamically stable patient (assumes a prior negative adequate colonoscopy and upper gastrointestinal endoscopy). Next procedure or intervention.,Capsule endoscopy,Usually Appropriate,,
Radiologic Management of Lower Gastrointestinal Tract Bleeding,Lower gastrointestinal tract bleeding. Obscure (nonlocalized) recurrent bleeding in a hemodynamically stable patient (assumes a prior negative adequate colonoscopy and upper gastrointestinal endoscopy). Next procedure or intervention.,CT enterography abdomen and pelvis with IV contrast,Usually Appropriate,,
Radiologic Management of Lower Gastrointestinal Tract Bleeding,Lower gastrointestinal tract bleeding. Obscure (nonlocalized) recurrent bleeding in a hemodynamically stable patient (assumes a prior negative adequate colonoscopy and upper gastrointestinal endoscopy). Next procedure or intervention.,MR enterography,May Be Appropriate,,
Radiologic Management of Lower Gastrointestinal Tract Bleeding,Lower gastrointestinal tract bleeding. Obscure (nonlocalized) recurrent bleeding in a hemodynamically stable patient (assumes a prior negative adequate colonoscopy and upper gastrointestinal endoscopy). Next procedure or intervention.,Push enteroscopy,May Be Appropriate,,
Radiologic Management of Lower Gastrointestinal Tract Bleeding,Lower gastrointestinal tract bleeding. Obscure (nonlocalized) recurrent bleeding in a hemodynamically stable patient (assumes a prior negative adequate colonoscopy and upper gastrointestinal endoscopy). Next procedure or intervention.,RBC scan abdomen and pelvis,May Be Appropriate,,
Radiologic Management of Lower Gastrointestinal Tract Bleeding,Lower gastrointestinal tract bleeding. Obscure (nonlocalized) recurrent bleeding in a hemodynamically stable patient (assumes a prior negative adequate colonoscopy and upper gastrointestinal endoscopy). Next procedure or intervention.,RBC scan with SPECT or SPECT/CT abdomen and pelvis,May Be Appropriate,,
Radiologic Management of Lower Gastrointestinal Tract Bleeding,Lower gastrointestinal tract bleeding. Obscure (nonlocalized) recurrent bleeding in a hemodynamically stable patient (assumes a prior negative adequate colonoscopy and upper gastrointestinal endoscopy). Next procedure or intervention.,Transcatheter arteriography/embolization,May Be Appropriate (Disagreement),,
Radiologic Management of Lower Gastrointestinal Tract Bleeding1,Lower gastrointestinal tract bleeding. Obscure (nonlocalized) recurrent bleeding in a hemodynamically stable patient (assumes a prior negative adequate colonoscopy and upper gastr2ointestinal endoscopy). Next procedure or intervention.,Fluoroscopy small-bowel follow-through,Usually Not Appropriate,,
Radiologic Management of Lower Gastrointestinal Tract Bleeding,Lower gastrointestinal tract bleeding. Obscure (nonlocalized) recurrent bleeding in a hemodynamically stable patient (assumes a prior negative adequate colonoscopy and upper gastrointestinal endoscopy). Next procedure or intervention.,Surgery,Usually Not Appropriate,,
Radiologic Management of Mesenteric Ischemia,"Recent onset abdominal pain, no peritoneal signs, and known atrial fibrillation. CTA shows filling defect in proximal SMA consistent with embolus. No intramural or extraluminal air. Initial therapy.",Systemic anticoagulation,Usually Appropriate,,
Radiologic Management of Mesenteric Ischemia,"Recent onset abdominal pain, no peritoneal signs, and known atrial fibrillation. CTA shows filling defect in proximal SMA consistent with embolus. No intramural or extraluminal air. Initial therapy.",Angiography and aspiration embolectomy,Usually Appropriate,,
Radiologic Management of Mesenteric Ischemia,"Recent onset abdominal pain, no peritoneal signs, and known atrial fibrillation. CTA shows filling defect in proximal SMA consistent with embolus. No intramural or extraluminal air. Initial therapy.",Transcatheter thrombolysis,Usually Appropriate,,
Radiologic Management of Mesenteric Ischemia,"Recent onset abdominal pain, no peritoneal signs, and known atrial fibrillation. CTA shows filling defect in proximal SMA consistent with embolus. No intramural or extraluminal air. Initial therapy.",Surgical embolectomy,May Be Appropriate,,
Radiologic Management of Mesenteric Ischemia,"Recent onset abdominal pain, no peritoneal signs, and known atrial fibrillation. CTA shows calcified atherosclerotic plaque involving the aorta and its major branches, as well as proximal short-segment occlusion of the proximal SMA. No intramural or extraluminal air. Initial therapy.","Angiography and endovascular intervention including possible thrombolysis, angioplasty, or stent placement",Usually Appropriate,,
Radiologic Management of Mesenteric Ischemia,"Recent onset abdominal pain, no peritoneal signs, and known atrial fibrillation. CTA shows calcified atherosclerotic plaque involving the aorta and its major branches, as well as proximal short-segment occlusion of the proximal SMA. No intramural or extraluminal air. Initial therapy.",Systemic anticoagulation,Usually Appropriate,,
Radiologic Management of Mesenteric Ischemia,"Recent onset abdominal pain, no peritoneal signs, and known atrial fibrillation. CTA shows calcified atherosclerotic plaque involving the aorta and its major branches, as well as proximal short-segment occlusion of the proximal SMA. No intramural or extraluminal air. Initial therapy.",Surgical endarterectomy or bypass,May Be Appropriate,,
Radiologic Management of Mesenteric Ischemia,"Patient with cardiac disease causing low cardiac output who developed abdominal pain but without peritoneal signs. CTA shows patent origins and proximal portions of celiac artery, SMA, and IMA, with diffuse irregular narrowing of SMA branches. Initial therapy.",Angiography with infusion of vasodilator,Usually Appropriate,,
Radiologic Management of Mesenteric Ischemia,"Patient with cardiac disease causing low cardiac output who developed abdominal pain but without peritoneal signs. CTA shows patent origins and proximal portions of celiac artery, SMA, and IMA, with diffuse irregular narrowing of SMA branches. Initial therapy.",Systemic anticoagulation,Usually Appropriate,,
Radiologic Management of Mesenteric Ischemia,"Patient with cardiac disease causing low cardiac output who developed abdominal pain but without peritoneal signs. CTA shows patent origins and proximal portions of celiac artery, SMA, and IMA, with diffuse irregular narrowing of SMA branches. Initial therapy.",Systemic infusion of prostaglandin E1,May Be Appropriate,,
Radiologic Management of Mesenteric Ischemia,"Patient with cardiac disease causing low cardiac output who developed abdominal pain but without peritoneal signs. CTA shows patent origins and proximal portions of celiac artery, SMA, and IMA, with diffuse irregular narrowing of SMA branches. Initial therapy.",Angiography with percutaneous transluminal angioplasty,Usually Not Appropriate,,
Radiologic Management of Mesenteric Ischemia,"Recent onset abdominal pain, peritoneal signs, and known atrial fibrillation. CTA shows filling defect in the proximal SMA consistent with embolus and evidence of bowel infarction. Initial therapy.",Surgical revascularization,Usually Appropriate,,
Radiologic Management of Mesenteric Ischemia,"Recent onset abdominal pain, peritoneal signs, and known atrial fibrillation. CTA shows filling defect in the proximal SMA consistent with embolus and evidence of bowel infarction. Initial therapy.",Systemic anticoagulation,Usually Appropriate,,
Radiologic Management of Mesenteric Ischemia,"Recent onset abdominal pain, peritoneal signs, and known atrial fibrillation. CTA shows filling defect in the proximal SMA consistent with embolus and evidence of bowel infarction. Initial therapy.",Angiography and aspiration embolectomy,May Be Appropriate,,
Radiologic Management of Mesenteric Ischemia,"Recent onset abdominal pain, peritoneal signs, and known atrial fibrillation. CTA shows filling defect in the proximal SMA consistent with embolus and evidence of bowel infarction. Initial therapy.",Transcatheter thrombolysis,Usually Not Appropriate,,
Radiologic Management of Mesenteric Ischemia,"Abdominal pain after meals and CTA showing widely patent origins of SMA and IMA, with compression of the celiac origin by the median arcuate ligament. Initial therapy.",Surgery with median arcuate ligament release,Usually Appropriate,,
