question,reference_answer,base_answer,rag_answer,agentic_rag_answer
"In the setting of follow-up after open repair of a thoracoabdominal aortic aneurysm or dissection, how do MRA chest abdomen pelvis without and with IV contrast and CTA chest abdomen pelvis with IV contrast compare in terms of appropriateness and relative radiation level?","For this follow-up scenario:
- MRA chest abdomen pelvis without and with IV contrast is Usually Appropriate and has a relative radiation level (RRL) of 0.
- CTA chest abdomen pelvis with IV contrast is also Usually Appropriate but has a relative radiation level (RRL) of 5.
Thus, both are usually appropriate, but MRA has no associated radiation exposure, whereas CTA has high radiation exposure.","For follow-up after open repair of a thoracoabdominal aortic aneurysm or dissection (postoperative surveillance):

- **CTA chest/abdomen/pelvis with IV contrast**  
  - **Appropriateness**: Usually **“Usually Appropriate”** (often the reference standard).  
  - **Radiation**: **High** radiation level (multiple-region CT angiography).

- **MRA chest/abdomen/pelvis without and with IV contrast**  
  - **Appropriateness**: Also typically **“Usually Appropriate”** as an alternative, especially when avoiding radiation or iodinated contrast is important.  
  - **Radiation**: **No radiation** (MRI-based exam).

So: both are generally considered appropriate for follow-up imaging; CTA has high radiation exposure, whereas MRA has none.","For follow-up after **open** repair of a thoracoabdominal aortic aneurysm or dissection:

- **MRA chest/abdomen/pelvis without and with IV contrast**  
  - **Appropriateness:** Usually Appropriate  
  - **Relative radiation level:** O (no ionizing radiation)

- **CTA chest/abdomen/pelvis with IV contrast**  
  - **Appropriateness:** Usually Appropriate  
  - **Relative radiation level:** ☢☢☢☢☢ (highest radiation category listed)","In follow-up after open repair of a thoracoabdominal aortic aneurysm or dissection (Variant 4):

• **MRA chest abdomen pelvis without and with IV contrast**  
  - **Appropriateness category:** Usually Appropriate  
  - **Relative radiation level:** O (no ionizing radiation)

• **CTA chest abdomen pelvis with IV contrast**  
  - **Appropriateness category:** Usually Appropriate  
  - **Relative radiation level:** ☢☢☢☢☢ (highest radiation category among the listed options)

Thus, both are considered *equally appropriate* for this indication, but MRA has **no radiation exposure**, whereas CTA involves **substantial ionizing radiation**."
"A patient with suspected dysfunction of an upper extremity hemodialysis arteriovenous fistula, based on reduced access blood flow, needs evaluation and potential treatment. Among the listed options, which are considered Usually Appropriate and do not involve ionizing radiation exposure?","For suspected dysfunction of upper or lower extremity hemodialysis access with abnormal clinical or hemodynamic indicators, the following are Usually Appropriate and do not involve ionizing radiation:
- US duplex Doppler hemodialysis access area of interest
- Fluoroscopy fistulography hemodialysis access with intervention does involve ionizing radiation, so it is not a low-radiation option.
Therefore, the only low- or no-radiation Usually Appropriate option is US duplex Doppler hemodialysis access area of interest.","The options that are **Usually Appropriate** and **do not involve ionizing radiation** are:

- **Duplex ultrasound (Doppler ultrasound) of the hemodialysis access**  
- **MR angiography (MRA) of the upper extremity/fistula without ionizing radiation** (i.e., noncontrast or gadolinium-enhanced MRA, not CT-based)","The options that are **Usually Appropriate** and **do not involve ionizing radiation** are:

- **Ultrasound (US) duplex Doppler of the hemodialysis access (area of interest)** for:
  - Initial imaging to evaluate suspected dysfunction (Variant 1)  
  - Treatment planning/therapeutic guidance in suspected dysfunction (Variant 2)","For a patient with suspected dysfunction of an upper extremity hemodialysis AV fistula (based on reduced access blood flow) who needs evaluation and potential treatment, the options that are **Usually Appropriate** and **do not involve ionizing radiation** are:

- **US duplex Doppler hemodialysis access, area of interest**

Fluoroscopy fistulography (diagnostic or with intervention) is also Usually Appropriate for this indication, but it uses ionizing radiation, so it does not meet your “no radiation” criterion."
"For the patient with a post–left hemicolectomy abdominal abscess whose drain output is 25 cc/day and whose collection is unchanged on CT despite antibiotics, how is catheter upsizing rated for this scenario?",Catheter upsizing is rated as Usually Appropriate.,"In this scenario, catheter upsizing is rated **“May Be Appropriate”** (appropriateness score: **4–6**), rather than “Usually Appropriate,” because:

- The drain is still functioning (25 cc/day output).
- The collection is unchanged on CT despite antibiotics, suggesting possible inadequate drainage or catheter position/size issues.
- Upsizing can be considered, but it is not mandatory; other options (repositioning, additional drainage, or continued observation depending on clinical status) may also be reasonable.",Catheter upsizing is rated as “Usually Appropriate” for this scenario.,"For this post–left hemicolectomy patient with a persistent abdominal abscess (low drain output and no change in collection size on CT despite antibiotics), **catheter upsizing is rated as Usually Appropriate.**"
"In the scenario of a cirrhotic patient with hepatocellular carcinoma characterized by a solitary 3–5 cm tumor, list all procedures that are considered Usually Appropriate treatment options.","For a cirrhotic patient with hepatocellular cancer and a solitary 3–5 cm tumor, the procedures that are Usually Appropriate are:
- Liver transplantation
- Combination locoregional therapy
- Surgical liver resection
- Transarterial chemoembolization
- Transarterial radioembolization","For a cirrhotic patient with hepatocellular carcinoma and a solitary 3–5 cm tumor, the following are considered **Usually Appropriate** treatment options:

1. **Surgical resection** (if liver function and portal pressure allow)  
2. **Liver transplantation** (if within transplant criteria, e.g., Milan criteria)  
3. **Thermal ablation** (radiofrequency or microwave ablation)  
4. **Transarterial chemoembolization (TACE)**  
5. **Stereotactic body radiation therapy (SBRT)** (in selected patients where other locoregional therapies are not suitable)","For a cirrhotic patient with hepatocellular carcinoma and a solitary 3–5 cm tumor, the procedures considered Usually Appropriate are:

- Liver transplantation  
- Combination locoregional therapy (ablation plus TACE or TAE)  
- Surgical liver resection  
- Transarterial chemoembolization (TACE)  
- Transarterial radioembolization (TARE)","For a cirrhotic patient with hepatocellular carcinoma characterized by a solitary 3–5 cm tumor, the following procedures are considered **Usually Appropriate** treatment options:

- Liver transplantation  
- Combination locoregional therapy (e.g., ablation plus transarterial therapy)  
- Surgical liver resection  
- Transarterial chemoembolization (TACE)  
- Transarterial radioembolization (TARE)

All other listed options for this variant are rated May Be Appropriate or Usually Not Appropriate."
"For the patient with a post–left hemicolectomy abdominal abscess and a drain in place (low output, unchanged collection on CT, on antibiotics), which management options are NOT considered appropriate (i.e., rated Usually Not Appropriate) in this setting?","In this scenario, the management option that is Usually Not Appropriate is:
- Continued antibiotics and drain removal","In this scenario (post–left hemicolectomy abdominal abscess, drain in place with low output, unchanged collection on CT, on antibiotics), the following options are **Usually Not Appropriate**:

- **Repeat CT scan with IV contrast** (no clinical change, collection unchanged, drain already in place)  
- **Repeat image-guided percutaneous drainage** of the same collection (no evidence of undrained loculations or enlarging abscess)  
- **Immediate surgical re-exploration/laparotomy** solely for the stable residual collection  
- **Removal of the existing drain** when the collection is unchanged and still present on imaging  

These are rated “Usually Not Appropriate” in the absence of clinical deterioration or imaging evidence of a new/enlarging or inadequately drained collection.","In this post–left hemicolectomy patient with a persistent abdominal abscess and a drain in place, the option rated **Usually Not Appropriate** is:

- **Continued antibiotics and drain removal**","In this scenario (post–left hemicolectomy abdominal abscess, drain in place, output 25 cc/day, collection unchanged on CT, on antibiotics), the management option that is **NOT** considered appropriate—i.e., rated **Usually Not Appropriate**—is:

- **Continued antibiotics and drain removal**

All other listed options for this variant (catheter upsizing, intracavitary thrombolytic therapy and drainage, continued antibiotics and drainage with no change in care, laparoscopic drainage, open surgical drainage) are rated May Be Appropriate or Usually Appropriate, not Usually Not Appropriate."
"In a cirrhotic patient with a solitary 3–5 cm hepatocellular carcinoma, how do transarterial chemoembolization and bland transarterial embolization compare in terms of appropriateness?","For a cirrhotic patient with a solitary 3–5 cm hepatocellular carcinoma:
- Transarterial chemoembolization is Usually Appropriate.
- Bland transarterial embolization is May Be Appropriate.","For a cirrhotic patient with a solitary 3–5 cm HCC:

- **Both TACE and bland TAE (embolization alone) are considered appropriate locoregional options** when the tumor is not amenable to curative therapy (resection, ablation, or transplant) and there is preserved liver function (typically Child–Pugh A/B, no main portal vein thrombosis, no decompensated cirrhosis).

- **Guidelines (AASLD, EASL, NCCN)** generally:
  - List **conventional TACE or drug-eluting bead TACE** as the standard transarterial therapy for intermediate-stage HCC and for some early-stage tumors not suitable for curative options.
  - Consider **bland TAE** an acceptable alternative when chemotherapy is contraindicated or not available, but it is less strongly endorsed.

- **Evidence**:
  - Multiple studies and meta-analyses show **no consistent survival advantage of TACE over bland TAE**, though TACE may have slightly higher objective response rates in some series.
  - Toxicity and post-embolization syndrome are similar; TACE may have somewhat higher systemic toxicity due to chemotherapy.

**Practical takeaway**:  
For a solitary 3–5 cm HCC in a cirrhotic patient who is not a candidate for resection/ablation/transplant, **TACE is usually preferred and guideline-backed as first-line**, but **bland TAE is a reasonable and often “appropriate” alternative**, especially if there are concerns about chemotherapy tolerance or institutional preference/experience with TAE.","For a cirrhotic patient with a solitary 3–5 cm hepatocellular carcinoma:

- Transarterial chemoembolization (TACE) is rated **“Usually Appropriate”**.
- Bland transarterial embolization (TAE) is rated **“May Be Appropriate”**.

So TACE is considered more appropriate and preferred over bland TAE in this setting, though bland TAE can still be considered when TACE is not suitable.","For a cirrhotic patient with a solitary 3–5 cm hepatocellular carcinoma:

- **Transarterial chemoembolization (TACE)** is rated **Usually Appropriate**.
- **Bland transarterial embolization (TAE)** is rated **May Be Appropriate**.

So TACE is considered more appropriate than bland TAE in this specific scenario."
"You are trying to minimize radiation exposure in a cirrhotic patient with a solitary 3–5 cm hepatocellular carcinoma. Among the listed treatment options for this scenario, which therapies do not inherently involve external beam or intra-arterial radiation delivery and how are they rated for appropriateness?","In a cirrhotic patient with a solitary 3–5 cm hepatocellular carcinoma, the options that do not inherently involve external beam or intra-arterial radiation and their appropriateness ratings are:
- Liver transplantation: Usually Appropriate
- Combination locoregional therapy (non-specified mix, may or may not include radiation depending on components): Usually Appropriate
- Surgical liver resection: Usually Appropriate
- Transarterial chemoembolization: Usually Appropriate
- Bland transarterial embolization: May Be Appropriate
- Percutaneous ablation liver: May Be Appropriate
- Systemic therapies: Usually Not Appropriate

The explicitly radiation-based options in this scenario are:
- Transarterial radioembolization: Usually Appropriate
- External beam radiation therapy: May Be Appropriate",,"For a cirrhotic patient with a solitary 3–5 cm HCC (Variant 2), the listed options that do **not** inherently involve external beam or intra‑arterial radiation are:

- **Liver transplantation** – rated **Usually Appropriate**  
- **Combination locoregional therapy (ablation + TACE/TAE)** – **Usually Appropriate**  
- **Surgical liver resection** – **Usually Appropriate**  
- **Transarterial chemoembolization (TACE)** – **Usually Appropriate**  
- **Bland transarterial embolization (TAE)** – **May Be Appropriate**  
- **Percutaneous liver ablation** – **May Be Appropriate**  

The therapies that *do* involve radiation are external beam radiation therapy and transarterial radioembolization.","For a cirrhotic patient with a solitary 3–5 cm hepatocellular carcinoma (Variant 2), the listed treatment options that **do not inherently involve external beam or intra‑arterial radiation delivery** and their ACR appropriateness ratings are:

Non‑radiation therapies:
- **Liver transplantation** – Usually Appropriate  
- **Surgical liver resection** – Usually Appropriate  
- **Combination locoregional therapy (e.g., ablation + TACE/TAE)** – Usually Appropriate  
- **Transarterial chemoembolization (TACE)** – Usually Appropriate  
- **Bland transarterial embolization (TAE)** – May Be Appropriate  
- **Percutaneous liver ablation** – May Be Appropriate  
- **Systemic therapies** – Usually Not Appropriate

Therapies that *do* involve radiation (for contrast):
- **External beam radiation therapy (e.g., SBRT)** – May Be Appropriate  
- **Transarterial radioembolization (TARE, Y‑90)** – Usually Appropriate

So, if you are specifically trying to avoid radiation, the usually appropriate non‑radiation options are liver transplantation, surgical resection, combination locoregional therapy, and TACE; TAE and percutaneous ablation are additional non‑radiation options rated May Be Appropriate in this scenario."
"For a female patient with pelvic-origin lower extremity varicose veins, how is iliac vein stenting rated for treatment in this scenario?","In the scenario of pelvic-origin lower extremity varicose veins in females (treatment), iliac vein stenting is rated as Usually Not Appropriate.","For pelvic-origin lower extremity varicose veins (e.g., from iliac vein obstruction/May–Thurner), iliac vein stenting is generally considered:

- **An accepted but selective treatment**, not first-line for all varicose veins.
- **Appropriate when**:
  - There is documented iliac vein obstruction (by venography/IVUS, sometimes CT/MR venography).
  - Symptoms are significant (pain, swelling, venous claudication, recurrent varicose veins, venous ulcers).
  - Conservative and/or superficial venous treatments alone are insufficient.
- **Guideline perspective** (SVS/AVF/AVLS, ESVS):
  - Endovascular stenting for non-thrombotic iliac vein lesions is **recommended/endorsed** in symptomatic patients with hemodynamically significant obstruction.
  - For varicose veins specifically, stenting is viewed as **adjunctive**—treat the obstructive pelvic outflow lesion first when present, then address residual superficial varicosities.

In short, iliac vein stenting is rated as an evidence-supported, guideline-endorsed option for appropriately selected women with pelvic-origin varicose veins due to iliac obstruction, but not a routine treatment for typical primary leg varicose veins.","Iliac vein stenting is not supported by evidence for treating pelvic-origin lower extremity varicose veins in women. 

The guideline states there is no relevant or high‑quality data demonstrating benefit of iliac vein stenting for improving pelvic-origin leg varicosities or their symptoms, so it is not recommended as a standard treatment in this scenario.","For a female patient with pelvic-origin lower extremity varicose veins (Variant 6, treatment), **iliac vein stenting is rated “Usually Not Appropriate.”**"
"In a woman with pelvic-origin lower extremity varicose veins who is being evaluated for treatment options, which procedures are considered appropriate or potentially appropriate according to the criteria?","For pelvic-origin lower extremity varicose veins in females (treatment), the procedures considered appropriate or potentially appropriate are:
- Conservative management: Usually Appropriate
- Compression sclerotherapy: May Be Appropriate
- Microphlebectomy: May Be Appropriate
- Saphenous vein ablation: May Be Appropriate (Disagreement)
- Iliac vein embolization: May Be Appropriate","For a woman with pelvic-origin lower extremity varicose veins, the following are considered appropriate or potentially appropriate treatment options:

**Appropriate:**
- Endovenous embolization of incompetent pelvic veins (e.g., ovarian or internal iliac vein embolization) when pelvic venous reflux is documented and symptoms correlate.
- Endovenous ablation (thermal or nonthermal) of refluxing lower extremity truncal veins when there is associated leg varicosity and documented reflux.
- Adjunctive phlebectomy or sclerotherapy of residual varicose tributaries after treatment of the primary reflux source.

**Potentially appropriate (depending on anatomy, symptoms, and prior treatment):**
- Repeat or staged pelvic vein embolization if initial treatment was incomplete or if there is recurrence.
- Surgical ligation of pelvic escape points or refluxing pelvic veins when endovascular options are not feasible.
- Conservative therapy (compression, lifestyle modification) as adjunctive management or when invasive treatment is deferred.

These align with commonly used appropriate use criteria for chronic venous disease and pelvic venous disorders.","For a woman with pelvic-origin lower extremity varicose veins being evaluated for treatment, the following are considered appropriate or potentially appropriate:

- **Saphenous vein ablation** (typically after pelvic embolization/sclerotherapy when indicated)  
- **Compression sclerotherapy** (foam sclerotherapy of pelvic-origin varices, often combined with embolization)  

These are the procedures specifically listed under treatment for pelvic-origin lower extremity varicose veins in females.","For a woman with pelvic-origin lower extremity varicose veins who is being evaluated for treatment (Variant 6: Treatment), the procedures rated as appropriate or potentially appropriate are:

- **Conservative management** – Usually Appropriate
- **Compression sclerotherapy** – May Be Appropriate
- **Microphlebectomy** – May Be Appropriate
- **Saphenous vein ablation** – May Be Appropriate (Disagreement)
- **Iliac vein embolization** – May Be Appropriate

All other listed options in this scenario (iliac vein stenting, left renal vein stenting, left renal vein surgery, ovarian vein embolization, iliac vein surgery) are rated **Usually Not Appropriate** for treatment of pelvic-origin lower extremity varicose veins in women."
"For suspected vascular steal syndrome related to hemodialysis access, suggested by cardiac failure or ischemic symptoms, which listed procedures are NOT considered appropriate for treatment or evaluation?","In the scenario of suspected vascular steal syndrome (upper or lower extremity), suggested by cardiac failure or ischemic symptoms (treatment and procedures), the procedure that is not considered appropriate is:
- US duplex Doppler hemodialysis access area of interest: Usually Not Appropriate","Procedures that are **not** considered appropriate for treatment or evaluation of suspected hemodialysis access–related vascular steal (suggested by cardiac failure or ischemic symptoms) include:

- **Arteriography of the access** (diagnostic angiography of the fistula/graft itself)  
- **Percutaneous transluminal angioplasty (PTA) of the access**  
- **Stent placement in the access**  

These endovascular interventions on the access are not appropriate as primary evaluation/treatment for suspected steal syndrome in this context.","For suspected vascular steal syndrome related to hemodialysis access:

From the “Treatment and procedures” list (Variant 12), the procedure that is **NOT** considered appropriate is:

- **US duplex Doppler hemodialysis access area of interest** – rated “Usually Not Appropriate.”

The other listed procedures (surgical consultation, continued access use with surveillance, fluoroscopy fistulography with intervention, and placement of a new tunneled dialysis catheter) are considered “Usually Appropriate” or “May Be Appropriate,” not “Usually Not Appropriate.”","For suspected vascular steal syndrome related to hemodialysis access, suggested by cardiac failure or ischemic symptoms, the ACR Appropriateness Criteria give two relevant variants:

1. **Variant 11 – Initial imaging to guide interventional radiologic therapy options**  
   The following procedures are **NOT considered appropriate (Usually Not Appropriate)** for evaluation:
   - MRA extremity area of interest without and with IV contrast  
   - MRA extremity area of interest without IV contrast  
   - MRV extremity area of interest without and with IV contrast  
   - MRV extremity area of interest without IV contrast  
   - CTV extremity area of interest with IV contrast

2. **Variant 12 – Treatment and procedures**  
   The following procedure is **NOT considered appropriate (Usually Not Appropriate)** for treatment in this context:
   - US duplex Doppler hemodialysis access area of interest

All of the above are rated “Usually Not Appropriate” for this clinical scenario."
"In a female patient with pelvic-origin lower extremity varicose veins being considered for interventional treatment, how do saphenous vein ablation and iliac vein embolization compare in terms of appropriateness?","For pelvic-origin lower extremity varicose veins in females (treatment):
- Saphenous vein ablation is rated May Be Appropriate (Disagreement).
- Iliac vein embolization is rated May Be Appropriate.
Both are considered potentially appropriate options, but saphenous vein ablation carries noted disagreement among experts, whereas iliac vein embolization does not.",,"For pelvic-origin lower extremity varicose veins in a female patient:

- **Saphenous vein ablation** is rated **“May Be Appropriate (Disagreement)”** for this indication. It is generally used **after** pelvic venous insufficiency has been treated (e.g., embolization/sclerotherapy of gonadal and pelvic veins) and mainly addresses residual saphenous reflux in the legs, not the primary pelvic source.

- **Iliac vein embolization** is rated simply **“May Be Appropriate”** (without disagreement). It directly targets pelvic venous insufficiency and is considered a reasonable interventional option for treating pelvic-origin varicose veins, although high‑quality outcome data are limited.

So, for primary interventional management of pelvic-origin lower extremity varicose veins, iliac vein embolization is considered more directly appropriate, whereas saphenous vein ablation is a secondary or adjunctive option and more controversial in this specific setting.","In this scenario (female with pelvic-origin lower extremity varicose veins, treatment/“Variant 6”):

- **Saphenous vein ablation** – rated **“May Be Appropriate (Disagreement)”**
- **Iliac vein embolization** – rated **“May Be Appropriate”**

So both are considered potentially appropriate options, but iliac vein embolization has a straightforward “May Be Appropriate” rating, whereas saphenous vein ablation carries a “May Be Appropriate” rating **with panel disagreement**, indicating more variability in expert opinion about its use in this specific pelvic-origin context."
"A patient on hemodialysis develops symptoms suggesting vascular steal syndrome in the access limb, with signs of ischemia. The team wants to minimize radiation exposure while still following the appropriateness criteria. Among the listed options, which procedure is considered appropriate or potentially appropriate and does not inherently require ionizing radiation?","In suspected vascular steal syndrome (upper or lower extremity), suggested by cardiac failure or ischemic symptoms (treatment and procedures), the procedure that is appropriate or potentially appropriate and does not inherently require ionizing radiation is:
- Surgical consultation: Usually Appropriate
(Other potentially appropriate options—continued hemodialysis access use with surveillance, fluoroscopy fistulography with intervention, and placement of a new tunneled dialysis catheter—either involve or may involve ionizing radiation, particularly fluoroscopy fistulography.)","The appropriate choice is **duplex Doppler ultrasound of the dialysis access and limb arteries**, as it is considered appropriate/potentially appropriate for suspected steal syndrome and does **not** inherently use ionizing radiation.",Duplex Doppler ultrasound of the access limb is the appropriate/potentially appropriate procedure that does not inherently require ionizing radiation.,"For suspected vascular steal syndrome with ischemic symptoms, the ACR Appropriateness Criteria list the following as appropriate or potentially appropriate:

- **US duplex Doppler hemodialysis access area of interest (Variant 11 – initial imaging)** – **Usually Appropriate** and **does not use ionizing radiation**.

All of the other procedures rated appropriate or potentially appropriate for this scenario (fluoroscopy fistulography, CTA/CTV, etc.) require ionizing radiation. Therefore, **US duplex Doppler of the hemodialysis access** is the procedure that both aligns with the criteria and avoids inherent radiation exposure."
"For a patient with malignant hilar biliary obstruction, how is a percutaneous internal/external biliary catheter rated as an initial therapeutic procedure?","For initial therapy of malignant hilar biliary obstruction, a percutaneous internal/external biliary catheter is rated as Usually Appropriate.","For malignant hilar biliary obstruction, placement of a percutaneous internal/external biliary drainage catheter as the **initial therapeutic procedure** is typically reported with:

**CPT 47511** – “Percutaneous transhepatic biliary drainage with internal and external catheter, initial.”","For malignant hilar biliary obstruction, a percutaneous internal/external biliary catheter is rated as **“Usually Appropriate”** as an initial therapeutic procedure.","For malignant hilar biliary obstruction, a **percutaneous internal/external biliary catheter is rated “Usually Appropriate”** as an initial therapeutic procedure (ACR Appropriateness Criteria, Variant 7)."
"In a patient with malignant hilar biliary obstruction (such as a Klatskin tumor) who needs an initial therapeutic procedure, which of the listed options are considered appropriate or potentially appropriate according to their ratings?","For initial therapy of malignant hilar biliary obstruction from malignant etiology, the procedures that are appropriate or potentially appropriate are:
- Percutaneous internal/external biliary catheter (Usually Appropriate)
- Endoscopic internal biliary catheter (removable plastic stent) (May Be Appropriate)
- Surgery (May Be Appropriate)
- Permanent biliary metallic stent (May Be Appropriate)
- Removable biliary covered stent (May Be Appropriate)","For an initial therapeutic procedure in malignant hilar biliary obstruction (e.g., Klatskin tumor), the options generally rated as **appropriate or potentially appropriate** (depending on exact anatomy, resectability, and expertise) are:

- **Endoscopic biliary drainage (EBD)** with:
  - Unilateral stent placement (in selected cases)
  - Bilateral stent placement (often preferred for higher Bismuth types)
  - Plastic or self‑expanding metal stents (SEMS), chosen based on expected survival and surgical plan

- **Percutaneous transhepatic biliary drainage (PTBD)**:
  - As primary therapy when endoscopic access is difficult or fails
  - As adjunct to incomplete endoscopic drainage

- **Combined endoscopic–percutaneous drainage**:
  - In complex, high‑grade hilar strictures where single‑modality drainage is inadequate

- **Endoscopic ultrasound–guided biliary drainage (EUS‑BD)**:
  - In centers with expertise, particularly after failed ERCP or when ERCP is not feasible

In contrast, options such as routine preoperative drainage of all resectable low‑grade hilar tumors, or procedures that do not achieve adequate drainage of functional liver volume, are generally rated as **inappropriate**.","For malignant hilar biliary obstruction (e.g., Klatskin tumor), the options rated as appropriate or potentially appropriate for the *initial* therapeutic procedure are:

- Percutaneous internal/external biliary catheter – **Usually Appropriate**
- Endoscopic internal biliary catheter (removable plastic stent) – **May Be Appropriate**
- Surgery – **May Be Appropriate**
- Permanent biliary metallic stent – **May Be Appropriate**
- Removable biliary covered stent – **May Be Appropriate**

Medical management only and endoscopic US-guided biliary drainage (EUS-BD) are not considered appropriate in this setting.","For malignant hilar biliary obstruction (e.g., Klatskin tumor), as an initial therapeutic procedure the following options are rated appropriate or potentially appropriate:

- **Percutaneous internal/external biliary catheter – Usually Appropriate**
- **Endoscopic internal biliary catheter (removable plastic stent) – May Be Appropriate**
- **Surgery – May Be Appropriate**
- **Permanent biliary metallic stent – May Be Appropriate**
- **Removable biliary covered stent – May Be Appropriate**

The option rated not appropriate in this setting is **endoscopic US-guided biliary drainage (EUS-BD) – Usually Not Appropriate**."
"For a patient with abnormal skin changes at a hemodialysis access cannulation site who needs initial imaging to guide interventional radiologic therapy, which imaging procedures from the list are NOT considered appropriate?","For initial imaging of abnormal skin changes at an upper or lower extremity hemodialysis access cannulation site, the procedures that are NOT appropriate are:
- MRA extremity area of interest without and with IV contrast (Usually Not Appropriate)
- MRA extremity area of interest without IV contrast (Usually Not Appropriate)
- MRV extremity area of interest without and with IV contrast (Usually Not Appropriate)
- MRV extremity area of interest without IV contrast (Usually Not Appropriate)
- CTA extremity area of interest with IV contrast (Usually Not Appropriate)
- CTV extremity area of interest with IV contrast (Usually Not Appropriate)","Imaging procedures that are **not** considered appropriate as the *initial* study in this setting include:

- **CT angiography** of the extremity/access  
- **MR angiography** of the extremity/access  
- **Non–access-focused CT or MRI** of the limb  
- **Nuclear medicine perfusion or flow studies** of the limb/access  

Initial imaging to guide interventional radiologic therapy for abnormal skin changes at a hemodialysis access site should be with **duplex ultrasound** and/or **catheter-based contrast fistulography/venography**; the cross-sectional and nuclear techniques above are not appropriate as first-line studies.","For abnormal skin changes at a hemodialysis access cannulation site (initial imaging), the following procedures are NOT considered appropriate:

- MRA extremity (with and without IV contrast)  
- MRA extremity (without IV contrast)  
- MRV extremity (with and without IV contrast)  
- MRV extremity (without IV contrast)  
- CTA extremity with IV contrast  
- CTV extremity with IV contrast","For abnormal skin changes at a hemodialysis access cannulation site (initial imaging to guide interventional radiologic therapy; Variant 9), the following listed imaging procedures are **NOT** considered appropriate:

- MRA extremity, area of interest, without and with IV contrast – Usually Not Appropriate  
- MRA extremity, area of interest, without IV contrast – Usually Not Appropriate  
- MRV extremity, area of interest, without and with IV contrast – Usually Not Appropriate  
- MRV extremity, area of interest, without IV contrast – Usually Not Appropriate  
- CTA extremity, area of interest, with IV contrast – Usually Not Appropriate  
- CTV extremity, area of interest, with IV contrast – Usually Not Appropriate

The only procedures considered appropriate or potentially appropriate in this scenario are **US duplex Doppler of the hemodialysis access (Usually Appropriate)** and **fluoroscopy fistulography of the access (May Be Appropriate)**."
"In evaluating abnormal skin changes at a hemodialysis access cannulation site, how do US duplex Doppler of the access and fluoroscopy fistulography of the access compare in terms of appropriateness for initial imaging?","For initial imaging of abnormal skin changes at a hemodialysis access cannulation site:
- US duplex Doppler hemodialysis access area of interest is rated as Usually Appropriate.
- Fluoroscopy fistulography hemodialysis access area of interest is rated as May Be Appropriate.","For **initial imaging** of abnormal skin changes at a hemodialysis access cannulation site:

- **US duplex Doppler of the access** is **usually appropriate as the first-line study**.  
  - Noninvasive, no contrast, can assess flow, stenosis, thrombosis, pseudoaneurysm, hematoma, and surrounding soft tissues.

- **Fluoroscopy fistulography of the access** is generally **not the first choice for initial evaluation** of skin changes alone.  
  - It is more invasive, requires contrast, and is typically reserved for:
    - Problem-solving when ultrasound is nondiagnostic or equivocal
    - Planning and performing endovascular interventions (e.g., angioplasty, stenting).

So, **US duplex Doppler is preferred as the initial imaging modality**, with fistulography used second-line or when intervention is anticipated.","For abnormal skin changes at a hemodialysis access cannulation site, duplex Doppler ultrasound of the access is **usually appropriate and preferred as the initial imaging** study. 

Fluoroscopy fistulography of the access is only **“may be appropriate”** in this setting and is not the first-line choice for initial imaging.","For initial imaging of abnormal skin changes at a hemodialysis access cannulation site:

- **US duplex Doppler of the hemodialysis access** is rated **“Usually Appropriate”** and is the preferred initial imaging modality.
- **Fluoroscopy fistulography of the hemodialysis access** is rated **“May Be Appropriate”** and is considered a secondary or selectively used option, rather than first-line.

So, duplex ultrasound is generally favored as the primary initial study, with fistulography reserved for selected cases where additional anatomic/angiographic detail is needed or when planning an intervention."
"A case involves a patient with marked thinning and ulceration over an upper extremity hemodialysis fistula, and you want an initial imaging study that avoids ionizing radiation exposure. Based on the ratings, which low- or no-radiation imaging option is considered most appropriate for guiding interventional radiologic therapy?","For initial imaging of abnormal skin changes at a hemodialysis access cannulation site while avoiding ionizing radiation, US duplex Doppler hemodialysis access area of interest is the most appropriate option, rated as Usually Appropriate. The available MR-based options (MRA and MRV, with or without contrast) are all rated as Usually Not Appropriate.",Duplex Doppler **ultrasound** of the hemodialysis access is the most appropriate low-/no-radiation imaging option to guide interventional radiologic therapy.,US duplex Doppler of the hemodialysis access is the most appropriate low-/no-radiation initial imaging study to guide interventional radiologic therapy in this setting.,"For this patient, the most appropriate low-/no-radiation initial imaging study is **US duplex Doppler of the hemodialysis access**, which is rated **“Usually Appropriate”** for guiding interventional radiologic therapy in the setting of abnormal skin changes over a hemodialysis access cannulation site."
"For an elderly patient over 60 with a positive PPD, abnormal chest radiograph, and bulky noncalcified mediastinal adenopathy on CT without pulmonary nodules, how is endoscopic/bronchoscopic biopsy rated for this scenario?",Endoscopic/bronchoscopic biopsy is rated as Usually Appropriate for this scenario.,"In that scenario (bulky, noncalcified mediastinal adenopathy on CT, no pulmonary nodules), endoscopic/bronchoscopic biopsy of mediastinal lymph nodes (e.g., EBUS‑TBNA or EUS‑FNA) is considered **a highly appropriate / first‑line diagnostic test**—typically rated in the **“usually appropriate” (highest) category** in appropriateness criteria for mediastinal lymph node evaluation.",Endoscopic/bronchoscopic biopsy is rated 8 (usually appropriate) for this scenario.,"In this scenario (elderly patient >60 years with positive PPD, abnormal chest radiograph, bulky noncalcified mediastinal adenopathy on CT, and no pulmonary nodules), **endoscopic/bronchoscopic biopsy is rated 8**, which falls in the **“Usually Appropriate”** category."
